70세,threescore
깜박이다,wink; bat
깨다,chip; Wake up from sleep; Break or crack
깨닫다,take a hint; to realize sth
꺼져라,Go to jericho
껄끄러운,granulative
꼬다,"twine; twist; braid, curl, entwist, twist"
꼬리,train; Tail
꼬리등,tail lamp
꼬마철도,scenic railway
꼬박,"fully; livelong, going straight through (timewise, how long it takes)"
꼬인자리,lay
꼬투리,"stump; a fault,sth wrong with sb; a capsule, a pod"
꼭,be sure; Tightly or fast; For sure
꼴사나운,"misbegotten; clumpy, clumsy, overgrown (too large), ungraceful, unseemly, unsightly"
꼴찌,tailender; booby; foot
꽂다,lodge; Be stuck in or insert
꽂히다,"lodge; to be stuck, inserted"
꽃병,thumbpot; flower vase; vase
꾀다,"lead; be infested with, be enswarmed with/by; allure, entice, inveigle, tempt"
꾸르륵거리다,wamble
꾸미다,"machinate; weave; Decorate (2) to plan sth, to dream up a scheme"
꾸밈,"machinery; ornamentation, decoration"
끄다,tune out (the radio); Put out or extinguish
끄덕이다,nod
끈,"leading strings; tape; A string or a cord; band, bind, braid, braiding, a cord, line"
끌다,"to tug, to pull; Pull"
끓어오르다,surge
끝,foreend; The end
나가서,off
나들이옷,"one's best bid and tucker; glad rags, going-out-clothes"
나무피리,hornpipe
나쁜,in the wrong
나약,"weak, not solid; effeminacy; enervation"
나이찬,nubile
나중에,later
나타나다,"manifest; Come out, appear"
낙관하다,hope; to think optimistically about
난바다에,in the offing
날개,wings; The wings
날갯죽지,vane
날고정기,toolholder
날리다,let; To send flying
날밑,sword guard; guard; swordguard
날아가다,wing; To fly away
날조하다,"fudge; concoct, fake, invent, manufacture (a story), trump sth up"
남기다,leave; To leave behind
남다,"live; Remain, be left over"
남으로부터,southward
남은것,odds
남작하다,manufacture
낫,"sickle; a reaping hook, a sickle, a scythe"
낭비하다,"trifle; prodigalize, spend lavishly, waste"
낭충,merozoite
낮은,"lowlying; inward (low in the stomach), low, still"
낮추다,"level; Lower, make low"
낳다,lamb; litter; To give birth
내다,shed; to produce a change in something; to make way for somebody
내려앉다,subside; sink
내륜,intrados
내리다,"lower, bring lower; Descend"
내버리다,cast(fling) to the wind; Throw away
내보내다,"launch; Let out, let go out"
내비치는,seethrough
내연의,internalcombustion
내전,pronation; civil war; introversion
내전하다,pronate
내진,sacrarium
냄비,marmite; A pot
냄새나는,stinking; smelly
냄새자취,scent
냉각탑,cooling tower; a nuclear cooling tower
냉혹,"flintiness; inexorability, obduracy, sternness, a cold inhuman nature"
너무나,all too; Extremely
너털웃음,horselaugh; guffaw
널름거리다,tongue
넘겨쏘다,overshoot
넘실거리다,lick; roll
넘어뜨리다,purl; Throw down
네덜란드여자,frow
노곤,"languid, weary"
노란새,yellowbird
노래하다,troll; To sing
노력하다,"hump; To try hard, strive"
노처녀,"old maid; old maid, spinster (a woman who has missed her chance to marry)"
노출,"outcrop; denudation, disclosure, exposure"
노킹,knocking; knock
녹다,oil; To melt
녹반,"green vitriol; copperas, ferric sulfate, green vitriol"
녹이다,"found; oil; Melt, dissolve"
녹화하다,"pretape; to telerecord, to record"
논의중의,in question
놀라서,in wonder
놀랄만큼,"to a wonder; fabulously, startlingly, wondrously, startlingly"
놋좆,thole
농담으로,in joke
농신제,Saturnalia
누그러뜨리다,"slake; abate, allay, mitigate, quiet, appease, still"
누선,lachrymal; base line; tear duct
누워있다,lie
눈뜨다,wake; Open one's eyes
눌린,pressed
느즈러지다,"work; to be slack, loosened"
늑재,futtock; frame timber; rib
늘,once; Always
늘어놓다,"windrow; (1) Scatter about haphazardly ; (2) 으로 늘어놓다 to arrange, place in order"
늘하는,wont
늦꾀,wise
늦다,"lose; To be late (time), to be overdue"
늦어도,at (the) latest
다감다,wind
다량,"quite a little; a good deal, big quantity, ton"
다루다,"manage; Treat, deal with"
다리,forelimb; Bridge; Leg
다리꼭지,switch
다린,pressed
다발,"topknot; bundle, fardel, pack, sheaf"
다운,like
다육성,fleshiness
다치다,hurt; To hurt
닥쳐,Hold your jaw s
단,"terrace; a column; platform, stage"
단검,"misericord(e); cutlass, -las, daggar, short sword"
단말장치,terminal
단장격,iambus
단장격의,iambic
단절,"chasm; cleft or discontinuance, rupture, severance"
단체인,monadelphous
단풍,maple; Fall foliage
닫다,shut; To close
달다,"wear; to attach, fix; To hang"
달래다,lull; to calm down
달성하다,"achieve; attain, accomplish, effectuate, fulfill"
달인물,(beef tea
닳아해짐,wear
담반,blue (copper) vitriol
답신,verdict
답차,treadmill
당번인,on(off) watch
대,"versus; One piece, counter for cigarettes/buses/vehicles; a stem, stalk"
대군주,overlord
대규모로,in (the) large; bigly
대단원,"catastrophe; denouement, endall, grand finale"
대동요,tidal wave
대변인,"press secretary; spokesman, spokesperson"
대본,"libretto; a screenplay, a script"
대부하고,loan
대부호,nabob; megamillionaire
대석,ledger
대세,mainstream; the general tendency
대스타,monstre sacre
대전제,"major premise(premiss); major, major premise, a major presumption"
대지,"mat; homesite, rent, building site for a house; groundplot, mother earth"
대체로,"in substance; Generally, on the whole, for the most part"
대출하다,hire
대패,lurch; a plane (carpentry)
대평원,llano; Great Plains
대형그네,trapeze
대호,sap
대화,conversation; duologue
대회,mass metting; A great meeting
댄스하다,shake
더럽히다,"to imbrue, to sully, to dirty; bedraggle, befoul, besmirch, compromise, contaminate, defile, foul, po"
던지다,jettison; To throw
덜된,misbegotten
덮개천,focusing cloth
덮치다,"overwhelm; bear down on, clobber, smite"
도가머리,topknot; crest
도량,"lead; the place of Buddha`s first lecture. Means a temple or place with a Bu; magnanimity, generosity ; calibre, size, dimensions"
도리들보,purlin; purline
도망중이다,be on the lam
도망치다,light; cut one's lucky; To make an escape
도망하다,"(do a bunk; to flee, to blow the popsicle stand, to scram and desert the place"
도벽,"kleptomania; kleptomania, sb who likes to steal, take the five finger discount"
도서번호,pressmark
도시구역,urb
도외시,disregard and neglect
도자기,printed china; Porcelain
도전배,challenge cup
도전하다,"fling(throw) down the gauntlet; throw down(take up) the glove; to challenge, to dare, to defy"
도중에,enroute; by the way
도처에,"all along the line; everywhere, throughout, universally"
도청하다,listen; overhear; tap
독기,mephitis; effluvium; miasma
독립기념관,Independence hall
돌리다,level; to come back to one`s senses after having lost them; to afford
동게르만어,East Germanic
동결,"freeze; congelation, gelation, iceup"
동계,"throb; cognation, palpitation, pulsation, undulation; the winter"
동문통첩,identic
동물,"zoological; an animal, a creature"
동서,"free union; cohabitation, living together (with the opposite sex); east and west"
동서하다,shack; cohabit
동요,"Mother Goose rhyme; agitation, commotion, fluctuation, shakiness, wobble; nursery rhyme"
