70세,threescore
알파스코프,alphascope
알파입자,alpha particle
알파카,alpaca
알파타,alfatah
알페오스,Alpheus
알풍뎅이,Japanese beetle
알프스의,Alpine
알현,audience; court
알현실,the presence chamber (for greeting royalty)
알현하다,to have an audience with the king
앎은층,lamella
앓는,ill
앓다,"To be ill, sick with sth"
암,Cancer
암각,rock
암갈색,"bitumen, brown, puce"
암거,"a channel, conduit, culvert"
암거래,"a racket, racquet (the mob)"
암거래상인,black marketeer
암공작,peahen
암괴,rock
암군,terrane
암굴,grotto
암내나다,horse
암내낸,ruttish
암녹색,eau de Nil; forest green
암닭,hen
암담하다,for there to be no hope
암담한,black
암당자,mayflower
암띠다,a person who has a lot of secrets or likes to spread and listen to the
암록,armlock
암록색,dark green
암류,undercurrent
암류권,asthenosphere
암만,Amman
암말,mare
암망아지,filly
암면,rock wool
암모날,ammonal
암모늄,ammonium
암모니아,ammonia
암모니아고무,ammoniac
암모니아의,ammoniacal; ammono
암목적,tacit
암몬조개,snakeroot; ammonite
암묵의,tacit; unexpressed
암반응,dark reaction
암벽,rock
암보이나,Amboina
암복사선,dark rays
암부,scotoma
암사자,lioness
암산,mental arithmetic
암살,assassination
암살단,hit squad
암살대,death squad
암살자,"assassin, assassinator, hit man"
암살하다,assassinate
암상,"bedrock, hardpan, rock"
암생,lithophyte
암석,"rocks, rock"
암석같은,rock
암석학,"lithology, petrology"
암석학자,petrologist
암설류,dry avalanche
암설자,spatula
암소,cow; heifer
암송,"recitation by rote, memorization"
암송문,sth to be memorized
암송자,reciter
암송하다,to recite from memory
암수,both male and female
암수동숙,homogamy
암수딴그루,dioecism
암수딴꽃의,diclimous
암수생식,gamogenesis
암순응,dark adaptation; scotopia
암순응의,dark adapted
암술,pistil
암술군,gynoecium
암술머리,stigma
암술머리의,stigmatic
암술잎,carpel
암시,"A hint, suggestion; nightvision"
암시장치,noctovision; night vision goggles
암시적인,"allusive, implicit, implied, suggestive"
암시하다,"hint, imply, suggest"
암시학,suggestology
암실,camera obscura; darkroom
암암리의,covert
암약,stillhunt
암양,ewe
암여우,vixen
암염,halite; rock salt
암염소,nanny goat
암영,blight; with a cloud over one`s head
암의,cancerous; carcinomatous
암자,cell; a small Buddhist temple
암자색,aubergine
암장,magma; a secret burial
암전,blackout
암점,scotoma
암종,cancer; carcinoma
암종명,canker
암중모색,암중 (in the middle of darkness) + 모색 (to be looking for sth) = to look 
암청색,cobalt; cobalt blue
암청색의,blueblack
암층,"terrane, a black/dark layer"
암캐,slut
암컷,"A female,a she (opp. 수컷)"
암컷화하다,feminize
암코양이,tabby
암탉,biddy; chook
암퇘지,sow
암투,veiled enmity
암펄,queen wasp
암펌,tigress
암페,amperage
암페어,ampere
암페어시,amperehour
암페타민,greenie
암페타민정,green dragon
암페타인,amphetamine
암표범,leopardess
암표상,scalper; speculator
암플루비움,impluvium
암피실린,ampicillin
암피트리온,Amphitryon
암피트리테,Amphitrite
암하라,Amhara
암행,incognito
암호,"cipher, code, cryptograph ; password"
암호문,"ciphertext, cryptogram, cryptography"
암호법,cryptosystem
암호작성술,cryptology
암호첩,code book
암호해독법,cryptography
암호화,"encoding, enciphering"
암호화하다,encode
암혹,very dark and black
암혹기,"a dark age, an age with no hope"
암황갈색의,fulvescent
암회색,field gray
암흑,"dark, gloom (metaphor); darkness, pitchblack"
암흑가,the (criminal) underworld or an area of town where it prevails
암흑공포증,achluophobia
암흑기,the dark ages
암흑면,seamy
암흑으로,blackly
압,pressure
압권,"a masterpiece, the very best"
압도,crushing with force/power
압도적,"overpowering, overwhelming"
압도하다,"to crush, overpower, overwhelm"
압력,"pressure,stress"
압력가마,autoclave
압력계,"manometer, pressure gauge"
압력도,pressure
압력밥솥,a pressure cooker
압력지시기,indicator
압록강,Yalu
압류,"retention, seizure of a person's property, sequestration"
압류인,seizor
압류하다,"attach, garnish, seize sb's property, sequester"
압맥박,pulse pressure
압밀,compaction
압박,"oppression, pressure, stress"
압박기,constrictor
압박된,"downtrodden, heavyladen"
압살롬,Absalom
압생트,absinthe
압생트중독,absinthism
압수,to confiscate and hold onto; confiscation
압수용기,baroreceptor
압승,clean sweep; grand slam
압승하다,massacre
압신기,compander
압연기,"a roller, rolling mill"
압운,"rhyme, rime"
압운시,"rhyme, rime; rhymed verse"
압운하다,tag
압저기,depressor
압전기,piezoelectricity
압점,pressure point
압정,"a drawing pin, a tack, a thumbtack"
압제,"iron hand, oppression"
압제받은,ridden
압제의,grinding
압제자,an oppressor
압제적인,"hardhanded, heavyhanded, iron handed, oppressive, tyrannic"
압제하다,oppress
압지,blotter; blotting paper
압착,crush; squeeze
압착공기발동기,air motor
압착기,"a press, a presser, a squeezer"
압착되다,squeeze
압착물,pressing
압착하다,crush; squeeze
압축,constriction
압축기,compressor
압축되다,condense
압축된,compressed
압축률,compressibility
압축성,compressibility
압축성의,compressible
압축의,compressive
압축파,compressional (compression) wave
압축판,particle board
압축하다,"compact, condense, constrict"
압형,tooling
압형기,tool
앗!,oon
앗다,to deprive of
앙가발,bowleg
앙가발의,bowleg
앙가발이의,bakerkneed; bowlegged
앙감질,hop
앙갚음,"retaliation, revenge"
앙갚음하다,"to get one`s own back, retaliate, retort"
앙고라고양이,Angora
앙고스투라껍질,Angostura
앙금,"the dregs, lees, sediment, stuff that's settled out"
앙금찌끼,ground
앙급지어,앙급 (재앙이 미친다 : to result in a disaster) + 지어 ( a fish in a pond) = A 3r
앙등,jackup
앙등하는,rising
앙상블,ensemble
앙상하다,scraggly
앙상한,rawboned; scrannel
앙셴망,enchainement
앙심,"ill blood, ill will, malignancy"
앙앙,squeak
앙앙거리는,shrewish
앙앙우는,squeaky
앙앙울다,squeak
앙양하다,elevate
앙증,miniature size
앙진,ingravescence; sthenia
앙진하는,ingravescent
앙커,anker
앙케이트,opinionnaire; questionnaire
앙케트,enquete
앙코르,Angkor; call
앙코르하다,encore
앙큼,to proceed ahead with steady footsteps
앙큼하다,to have ambitions bigger than one's britches
앙큼한,dirtyminded
앙트레,entree
앙트르메,entremets
앙트르샤,entrechat
앙트아네트,Antoinette
앝은,shoal; shoaly
앞,"In front of, before"
앞4반부,forequarter
앞길,"The road ahead, outlook"
앞날,"The futre, the days ahead"
앞니,foretold
앞다리,foreleg; proleg
앞닫이,vamp
앞당기다,"advance, move up"
앞돛대,foremast; foresail
앞두다,Have a distance ahead
앞뒤,Before and behind
앞머리,forelock; quiff
앞모습의,halffaced
앞모음,front vowel
앞무대,apron; forestage
앞문,the front gate
앞바다,the offing sea
앞발,"forefoot, forepaw, an animal's hands"
앞방,antechamber
앞부분,forepart
앞서,"Before, previously 2) in anticipation,beforehand"
앞서는,antecedent
앞서다,"To go before, precede"
앞서서,ahead
앞섬,antecedence; priority
앞세우다,"to be in front, place in front"
앞얼굴,halfface
앞에,forward; supra (infra?)
앞에서의,previous
앞으로,"going ahead; going forward, into the future"
앞의,days in the future; front
앞이,limb
앞잡이,"instrument (of the police), jackal, nark, puppet"
앞장서다,To be in the lead/ at the head
앞장식,vest; vestee
앞지르다,"surpass, get ahead of, outmarch, overstride"
앞질러,ahead
앞쪽,"The front, the fore part"
앞창,half sole
앞치마,apron
앞치마의끈,apron string
애,"A baby, or a slightly derogative word for person; Troubles, worries"
애가,"elegy, epicedium, requiem, threnody"
애가시인,elegist
애가의,threnodic
애가조의,elegiac
애걸복걸,solicitation. 애처롭게 하소연하며 애원하고 빎.
애걸하다,"to beg, to plead"
애견가,dog fancier
애고,"custom, patronage"
애고하는,patronizing
애교,"grace, attractiveness"
애교점,beauty spot
애국심,nationalism; patriotism
애국운동,nationalism
애국의,patriotic
애국자,patriot
애국적선동,flagwaving
애기,"a kid, a baby"
애기똥풀,celandine
애기부들,bulrush
애기사슴,chevrotain
애기풀,milkwort
애꾸눈,"cyclops, a one-eyed person"
애꾸눈이,Cyclops
애꿎다,"to be free of blame, innocent"
애너컬쳐,anaculture
애노드액,anolyte
애달음,fret
애달파,heartbreaking
애당심,party spirit
애당초,the very first initial time
애덤자이트,adamsite
애도,"condolence, mourning, regret"
애도가,dirge
애도의,condolatory; threnetic
애도자,mourner
애도하는,condolent
애도하다,mourn
애들레이드,Adelaide
애락,grief and joy
애럴다이트,Araldite
애로,notch; a bottleneck
애마,favorite horse/motorcycle
애마가,hippophile
애마르다,to be eager in anticipation
애매,"vague, obscure"
애매하게하다,becloud
애먹다,trouble
애먹음,harassment
애먹이다,gnaw; ride
애모,adoration
애무,"caressing, lovemaking, smooching"
애무하는,caressing
애무하다,caress
애벌,first time you do sth before you do it again
애벌갈다,rough-grind
애벌레,larvae
애벌레의,larval
애벌염색,bottoming
애벌칠,"roughcast, rough coat"
애벌칠의,roughcast
애벌칠하다,roughcast
애보카도,avocado
애분,coprolagnia
애비,derogative word for FATHER
애상,"a sad feeling; praising artwork; sad, with a broken heart"
애서가,bibliophile; booklover
애서가의,bibliophilistic
애석,regret
애석하다,to be sorrowful about
애송이,"cub, fledg(e)ling, sprig, sb who is green"
애송이인,callow
애수감,pathos
애써,"diligently, painfully"
애쓰다,Make efforts/pains to do sth
애씀,study
애액,"come, cum; lovejuice"
애완,"staying close to and loving, adoring sb"
애완견,lap dog
애완동물,pet
애욕,libido
애욕의,erotic; libidinous
애용,habitual use
애용하다,"one`s favorite, to make habitual use of"
애원,imploration; Miserere; petition
애원견,a pet
애원동물,"a pet, a house pet"
애원적인,appealing
애원조로,deprecatingly
애원하는,imploratory; imploring
애원하다,"appeal, cry, implore; sad and angry"
애원하다시피,entreatingly
애원하며,bended
애인,A lover
애잔하다,"sad, crying (fig.)"
애절하게,pathetically
애정,"Love for a person, affection"
애정어린,affectionately
애정으로맺다,attach
애정있는,fond
애조가,aviarist
애지중지,to treat something with love and endearment. to love and treat endeari
애착,"attachment, devotion, fondness"
애착심,"attachment, devotion, fondness"
애처로운,"deplorable, mournful, piteous, regrettable, sorrowful"
애처롭게,sadly
애처롭다,"sad, pitiful"
애초,"the first, the beginning"
애추,scree
애칭,hypocorism; pet name
애칭의,hypocoristic
애타는,intolerable
애타다,fret
애타주의,altruism
애탐,vexation
애태우는,consuming
애태우다,gall
애태움,vexation
애틋하다,"to feel a longing, a yearning for"
애티,childish
애프터파이브의,afterfive
애플로톡신,aflatoxin
애플파이,pandowdy
애호,"loving, liking"
애호가,"an aficionado, a fancier, a fan"
애호가들,afficionados
애호자,a lover
애화,sobstory(st`uff)
애환,"sad and happy, bringnig about those emotions"
액,"juice, in liquor; the amount of"
액내의,submerged
액년,climacteric
액년의,climacteric
액땜,a vicious evil cycle
액량,liquid measure
액량단위,hogshead
액막이,exorcism
액막이하다,exorcise
액면,"face-value, par-value"
액면가,"face-value, par-value"
액면가액,"face-value, par-value"
액면금액,value
액세서리,Accessory
액센트,stress
액솔로틀,axolotl
액수,"A sum, an amount"
액슬,axel
액어법,zeugma
액운,bad luck
액자,"casing, frame, plaque"
액체,"an effusion, a liquid"
액체공기,liquid air
액체받이,a drip pan
액체산소,lox
액체연로,liquid fuel
액체의,liquid
액취,rostellum
액포,vacuole
액화,"condensation, liquefaction"
액화하는,liquescent
액화하다,"condense, liquefy, liquidize"
앤잭,Anzac
앤지오텐신,angiotensin
앤트림,Antrim
앤티시플레이션,anticiflation
앤티오프,Antiope
앨드린,aldrin
앨라배민,alabamine
앨리스,Alice
앨버타,Alberta
앨버트공,Albert; Prince Albert
앨범,Album
앨비언,Albion
앨클래드,alclad
앰버라이트,amberite
앰트랙,Amtrak
앰풀,ampoule; ampulla
앰플리다인,amplidyne
앳된,girlish
앵글로노르만어,AngloNorman
앵글로색슨민족,AngloSaxon
앵글로색슨의,AngloSaxon
앵글로족의,Anglian
앵글릭스,Anglic
앵글사람,Anglian
앵글어,Anglian
앵글족,angles
앵글철,angle iron
앵돌아짐,petulance; petulancy
앵무병,parrot fever; psittacosis
앵무조개,Noah's Ark; pearly nautilus
앵무조개속,nautilus
앵앵거리다,scold
앵초,primrose
앵초단,Primrose League
앵초색,primrose; primrose yellow
앵커맨,presenter
앵티미스트,intimist
야,"(Word to get somebody's attention) Hey!! (2) impolite speech for 이다, t"
야!,yippee
야ㅣ한,smokingroom
야간,The night time
야간금고,night safe
야간등,nightlight
야간명시장치,night vision goggles
야간발송전보,night letter
야간에,nocturnally
야간작업,night work
야간학교,night school
야경,the nightscape; a watchman
야경꾼,"a night man, a night watchman"
야경봉,night stick
야경증,night terror
야경화,"a night piece, a nightscape"
야고보서,James
야곱,Jacob; James
야광,nightglow
야광층,noctiluca
야구,Baseball
야구공,apple; baseball
야구선수,ball player
야구장,Baseball field
야구팀,nincomerery; nine
야궁,archery
야근,overtime
야근보이,a night porter
야근시간,the night shift
야근자,sb working late/overtime
야금술,metallurgy
야금의,metallurgical
야금학,metallurgy
야기,give rise to
야기하다,"create, engender, induce, invoke"
야뇨증,nocturnal enuresis
야누스,Janus
야단,"A clamro, uproar 2) a scolding"
야단났구나!,gramercy
야단났다,great guns
야단밥석,a lot of people get together and make a lot of noise
야단법석의,boisterous
야단법석함,fussiness
야단스러운,fustian
야단치다,"berate, hollar, rage, rollick"
야당,"the party out of power, the outparty, the minority party"
야당간부,front bencher
야도충,cutworm
야드,cloth yard; yard2
야드자,"a yard measure, a yardstick"
야들야들,"soft, shiny"
야라보,poon
야료하다,outcry
야릇하다,"odd, queer, strange"
야만,"the opposite of civilization, barbarians, people with a low degree of ; something very sexual"
야만성,brutality
야만스런,"heathenish, truculent"
야만의,"barbarous, rude, uncivilized, wild"
야만인,"barbarian, a Goth, a Hun, savage"
야만인의,barbaric
야만적인,"barbaric, savage, uncivil"
야만화,barbarization
야만화하다,barbarize
야망의,out
야맹증,"night blindness, nyctalopia, periodic ophthalmia"
야무주다,to be hard and firm in actions and behavior
야무지다,"stout, sturdy, strong"
야무진,prickup
야물커,yarmulke
야바위,"a double cross, a hoax, scam"
야바위꾼,"grifter, racketeer, con man"
야박,cold and heartless
야박하다,inhospitable
야박함,sophistication
야반,noon
야벳의,Japhetic
야비,"coarseness, inurbanity, meanness, smuttiness, uncourtliness"
야비하다,"churlish, coarse, graceless, lowminded, rude, sordid"
야비함,"raunchness, vulgarity"
야빙,field ice
야사,the un-official version of history
야산,hill; holt
야삼경,ghostly hour
야상곡,nocturne
야생,"ferity, wildness"
야생능금,crab apple
야생동물,a wild animal
야생적,wildly
야생조,a wild bird
야생화,a wild flower
야선,fielder's choice
야성,wild
야수,a baseball player; a wild beast
야수성,brutal
야수적인,brutish
야수파주의,Fauvism
야식,farming
야심,"ambition, go-ahead; deepness of the night"
야심가,"a highflier, a social climber"
야심적인,"ambitious, highflying"
야아,"heigh, hey, hi, wow"
야아!,"heyday, yah"
야영,"a campout, an encampment"
야영기,field colors
야영대,camp
야영자,encampment
야영지,"camp, campsite, encampment"
야영천막,camp
야영하다,"to camp out, to bivouac"
야옹,"Mewing, meowing"
야외,"The fields, the outskirts"
야외극,pageant
야외운동,airing
야외음악당,band hell
야외의,alfresco; freeair
야외촬영,location
야외취사장,field kitchen; fire place
야외학교,hedge school
야운데,Yaounde
야웅,meow
야위다,"macerate, thin, become thin"
야윈,"lean, scrawny, thin"
야윈말,jade
야윈부분,lean
야유,making fun of sb
야유꾼,Nosy Parker
야유하다,"barrack, catcall, hoot"
야유회,an outdoor picnic
야인,Neanderthal
야자,palm
야자기름,palm butter
야자술,toddy
야자유,coconut oil; palm oil
야자주,palm wine
야전군,field army
야전근무,field service
야전양식,field ration
야전포병,field artillery
야차,a night train
야카우,yakow
야코비안,Jacobian
야쿠트족,Yakut
야크,yak
야토병,rabbit fever; tularemia
야포,"field artillery, field gun, fieldpiece"
야포대,field battery; firing battery
야하다,"To be gaudy,garish; mean, low, vulgar (in a sexual way)"
야학,evening class
야한,"flashy, garish, glitzy, zizzy"
야함,"glare, glitz, pazazz, razzmatazz"
야합,collusion
야회,evening party; soiree
야회복,"an evening dress, formal wear, an evening gown, a penguin suit"
야회복으로,formal
야후속의,Yahoo
야훼,Yahweh
야훼스트,Yahwist
야훼스트의,Yahwistic
야훼신앙,Yahwism
약간,"Some, a little"
약값,prescription charge
약강격,iambus
약강격의,iambic
약강약격,amphibrach
약관,"a man is twenty, 남자 나이 스무 살; legal terms, a legal agreement"
약국,Pharmacy
약다,"sly, to be sly"
약단지,gallipot
약대,asthenosphere
약도,"delineation, outline, sketch map"
약동,pulsebeat
약동하는,exciting; throbbing
약동하다,leap
약량계,dosimeter
약량학,posology
약력,"a bio, a vita (survey of one`s life)"
약리,changes resulting from use of a medicine
약리학,pharmacology
약맥,acrotism
약박,upbeat
약발,the visible signs of medicine working
약방,drugstore
약병,phial; vial
약복,dishabille
약분,reduction of a fraction
약분하다,cancel
약빠르다,"sharpwitted, shrewd, smart"
약사,chemist
약삭빠른,"clever, smart"
약설적인,recapitulative
약세,weakness of a trend
약세의,"bearish, weakish"
약세인,weak
약속,A promise
약속날,day
약속된,engaged
약속어음,"mercantile paper, a promissory note"
약속자,promiser; promisor
약속하다,To make a promise
약속하여,committed
약손가락,ring finger
약수,"Medicinal water, mineral water; a divisor"
약수터,a natural spring
약수통,a container for mineral water
약시,amblyopia
약식,"informality, perhaps impromptu so not formal; Korean sticky rice (think of rice cakes)"
약실,cartridge chamber
약알칼리성의,alkalescent
약약강격,anapest
약약강격의,anapestic
약어,"abbreviation, an abbreviated word"
약연,triturator
약오르다,"to chafe, to vex sb"
약오름,annoyance; chafe
약올리다,chafe
약용,salep
약용의,officinal
약육강식,fist law
약육강식의,weaktothewall
약으로써,medicinally
약음기,"a mute, a sordino"
약의,antheral
약인,consideration
약자,abbreviation
약장,negligee
약장의,undressed
약전,pharmacopoeia
약정,"contract, convention, stipulation, term; in stocks, the stock trade itself"
약정의,conventional
약제,"drug, medicament"
약제의,pharmaceutical
약제학사,pharmacist
약조,convention
약조금,earnest money
약종,"medicinal stuff, materia medica"
약종상,"apothecary, pharmacy"
약진,elan; upswing
약초,allheal
약초상,herbalist
약초원,herbary
약층,thermocline
약탈,"despoliation, looting, pillage, plunder"
약탈물,loot
약탈병,filibuster
약탈자,"looter, marauder, robber, spoiler"
약탈품,the spoils of a raid
약탕,tisane
약포,cartridge
약포지,cartridge paper
약품,"Medicines, medical supplies"
약하게,thinly
약하다,To be weak
약학,"pharmaceutics, pharmacy"
약한,"faint, feeble, watery, weak"
약한.,floppy; frangible
약해진,subdued; unstrung
약협,shell
약협식포탄,fixed ammunition
약호,code
약혼,"betrothal, engagement"
약혼녀,A girl who is engaged
약혼시키다,handfast
약혼의,contracting
약혼자,"A fiance, an engaged person"
약혼중인,engaged
약혼하다,betroth; contract
약혼한,"affianced, betrothed"
약화,becoming weak
약화된,watered down
약화시키다,"depress, fatigue"
약화하다,to attenuate
약효,the effects of medicine
약효과,medicinal effects
얀트라,yantra
얄궂게도,ironically
얄궂다,just an adj used to denigrate sb
얄랍,turpeth
얄밉다,"Be offensive, mean"
얄타,Yalta
얄타회담,Yalta conference
얄팍하다,to be rather thin
얄팍한,sleazy
얇게,thinly
얇게하다,attenuate; thin
얇다,To be thin
얌전빼는,"niminypiminy, prim"
얌전한,"gentle, peaceable, quiet"
얌전함,grace
얌체,"selfish,shameless, interested in one`s self-interest only"
양가,two houses; a respected house; a family that adopted a boy
양각,relief
양각기,compass
양각의,raised; twolegged
양같은,ovine
양계,raising chickens
양계업,raising chickens
양계업자,poultryman
양계장,"chicken yard, fowlrun, hennery, poultryfarm"
양고기,mutton
양고추,green pepper
양고추냉이,horseradish
양골담초속,genista
양골담초의,broomy
양과자,cake
양국,Both countries
양귀비,"opium poppy, poppy"
양귀비꽃과의,papaveraceous
양극,the positive terminus of a battery; the 2 extremities
양극-금,plate
양극단,extreme
양극선,"an anode ray, positive rays"
양극성,polarity
양극액,anolyte
양극처리다다,anodize
양극판,positive plate
양금사,aviary
양기비과의식물,bloodroot
양기학,aerometry
양기호,quantifier
양날의,doubleedged
양녀,foster daughter
양념,Spices and condiments
양념병,caster; cruet
양념병대,caster; cruet
양념장,basting
양념한,seasoned
양놈,foreign devil
양다리모양의,legopmutton
양단간의,makeorbreak
양담쟁이,virginia creeper; woodbine
양당의,bipartisan
양대전간의,interwar
양도,"conveyance, devolution, transference"
양도불가능,inalienability
양도세,transfer tax
양도인,"assignor, conveyer, -or, grantor, releasor"
양도자,"granter, transmitter"
양도증서,a document declaring the conveyance of legal rights
양돈장,hoggery; swinery
양동의,diversionary
양동이,pail
양두정치,diarchy
양두정치의,diarchial
양딱총나무,elder
양딸기,strawberry
양력,The solar calendar
양로원,beadhouse
양륙,debarkation; disembarkation
양륙장,landingplace
양륙하다,disembark
양립성,compatibility
양립하다,to make compatible/consistent
양막,amnion
양막조영법,amnighraphy
양막천자,amniocentesis
양말,A sock
양말벨트,garter belt
양면,"having two faces, two sides"
양면성,"outside one, inside two; ambilaterality"
양모,sheep's hair
양모제,hairrestorer
양모지,lanolin
양모학자,trichologist
양묘삭,catfall
양묘주,cat davit
양물푸레나무,ashen
양미나리,parsley
양미리,lancefish
양박쥐,noctule
양반,a rich person in Chosun times
양반답게,gently
양방향,interactive
양배추,Cabbage
양별꽃,spurry
양보,"concession,compromise"
양보적인,concessive
양보하다,"To make a concession, recede"
양복,Western European style clothing
양복감,dress goods
양복바지,inexpressible
양복업계,rag trade
양복업자,rag trader
양복장,clothespress
양복장이,tailor
양복지,suiting
양볼락과의,scorpaenid
양볼록의,biconvex
양봉,"apiculture, beekeeping"
양봉가,"an apiarist, a beekeeper"
양봉장,"apiary, a beehouse"
양부,fostetr father
양부모,adopter; fosterer
양분,to divide in half; nutritional ingredients
양분되다,"dichotomous, dimidiate, split into 2"
양비들기,rock pigeon
양사,sheepcote
양산,"mass production; parasol, sunshade"
양산하다,massproduce
양상,"phase, appearance, aspect"
양상군자,Lettuce
양상추,Lettuce
양생,cure
양생법,regimen
양생하다,cure
양서,an amphibian (an animal that lives on land an in the water); a good book
양서류,"Amphibia, Batrachia"
양서류학,amphibiology
양성,"cultivation, nurturing; the opposite sexes; a positive nature"
양성교,bisexuality
양성동물,a hermaphrodite
양성소,"a nursery, training school"
양성애,"ambisexual, bisexual"
양성애자,a bisexual
양성자,cultivator
양성하다,"to educate, nurture"
양성화,hermaphrodite
양소매책상,bureau
양손잡이의,bothhanded
양수,"dual number; acquisition by transfer, transferring sth to sb; amniotic fluid"
양수경,amnioscope
양수선,tuberose
양수인,"assignee, endorsee, grantee, transferee"
양수잡이,ambidexterity
양수잡이의,ambidextrous
양수차,waterwheel
양수체,amboceptor
양순음,bilabial
양순하게,conformable
양순한,facile
양식,"raising,farming,culture; A mode, a style, an order, amodality; common sense, good sence"
양식장,"aquafarm, a breeding ground"
양식화하다,conventionalize
양심,Conscience
양심수,"imprisoned for your thoughts, a prisoner of conscience"
양심적,"conscientious, related to the conscience"
양아들,an adopted son/boy
양아욱,geranium
양약,good medicine; Western medicine
양약고구,bitter medicine is good for you
양약고어구,bitter medicine is good for you
양양격,spondee
양어,"aquaculture, fish culture, fishfarming"
양어기,fish globe
양어못,piscina
양어법,pisciculture
양어장,"an aquafarm, a fish farm"
양어지,aquarium
양여,cession; concession
양여의,concessionary; concessive
양옆,On both sides
양오얏,plum
양옥,a Western-style house
양옥집,a Western-style house
양요의,concavoconcave
양우리,cote; fold
양원제의,bicameral
양위자,abdicator
양위하다,demise
양육권,asylum
양육받는,being nursed
양육원,charity
양육원수용자,beadsman
양육자,rearer
양육하는,nursing
양육하다,"foster, nurture"
양은,German silver
양의,ovine; positive
양이온,"cations, positive ions"
양이욱속,pelagium
양일,for 2 days
양자,"adoptee, foster child, fosterling, an adopted son; a quantum; proton"
양자간,bilateral
양자론,quantum theory; adoptionism
양자수,quantum number
양자역학,nuclear study
양자임,fosterage
양자택일,"either-or, must choose one; to choose one of the two. ."
양자화,quantization
양잠가,sericulturist
양잠소,cocoonery
양잠업,sericulture
양장점,dressmaker
양재,couture
양재사,"dressmaker, a tailor"
양재업,dressmaking
양적,quantitative
양적인,quantitative
양전기,positive electricity; positve electricity
양전기의,electropositive
양전자,positron
양전하,positive charge
양조,"brew, brewing"
양조량,brewing
양조법,zymotechnics
양조업자,beerage
양조자,brewster
양조장,brewer; brewery
양조주,brewage (a drink)
양조하다,brew
양주,Foreign wine/liquors
양지,"sunniness, sunshine; understanding,appreciation"
양지꽃,a cinquefoil
양지바른,sunny
양지쪽,sun
양진,prurigo
양진의,pruriginous
양질,quality
양질의,superior
양쪽,Both sides
양철,tin; tinpate; tin plate
양철공,whitesmith
양철깡통,tin can
양철장이,"tinman, tinner, tinsmith"
양철통,can
양체의,bicorporal
양초,"a candle, a wax candle"
양충,chigoe
양충병,trombidiasis
양취란화,cowslip
양치기,flockmaster
양치기의지팡이,crook
양치꼴의,filiciform
양치는사람의,bucolic
양치류,fern
양치질,gargle
양치질하다,gargle
양치학,pteridology
양친,"your parents, mother and father"
양키,Yankeedom
양키노래,YankeeDoodle
양키놈,damyankee
양키연구,Yanquiology
양키화하다,Yankeefy
양탄자,carpet
양탄자재료,carpeting
양털,"fleece, pile, wool"
양털기름,yolk
양털부대,woolsack
양테,brim
양테가넓은모자,broadbrim
양토,loam
양토업,rabbitry
양토장,warren
양톱풀,tansy
양파,An onion
양파냄새,onion
양판,poppet
양판의,bivalved; bivalvular
양풀푸레나무,ash
양품류,hosiery
양품업,hosiery
양피,lambskin
양피상,fellmonger
양피지,sheepskin
양해,understanding
양해각서,MOU memorandum of understanding
양해되다,to be understood
양호,"good, beneficial"
양호상태,apple pieorder
양호실,dispensary
양호업,fox farming
양호유환,you raise a tiger 호랑이를 길러서 but the tiger tries to bite you/spites you 
양호함,fitness
양홍,kermes
양홍색,carmine
양화,good money; positive; quantification
양회,cement
양흥,grenadine
얕다,"To be shallow, superficial"
얕보고,lightly
얕보는,disparaging
얕보다,"belittle, depreciate, disparage, make little of, slight"
얕보아,depreciatingly; slightingly
얕봄,belittlement
얕아지다,to fill up
얕은,shallow; skindeep
얕은상처,flesh wound
얕잡다,to denigrate or look down on sb or their abilities
얘,"Yes.; Sonny, you there"
얘기,Story
얘기하다,To tell a story
어,"Oh, well, why"
어간,"the stem of a word; spacing (time,space)"
어감,the feeling of a word
어개,seafood
어교,fish glue
어구,"locution, phraseology; fishing gear"
어군,shoal
어귀,jaw
어근,"etymon, radical, radix, root"
어금니,"grinders, molars (teeth)"
어긋나다,"deviate,go astray"
어긋나서,crisscross
어긋남,a discrepancy
어기는,violative
어기다,"Run counter to, go against"
어기여차!,yoheaveho
어김,"breach, violation"
어김없이,"inevitably, without fail, for sure. 반드시"
어깨걸이,manta; tippet
어깨고기,shoulder
어깨글자,cockup; superscript
어깨띠,sash
어깨망토,cape
어깨받이,shoulderpiece
어깨뼈,shoulder blade
어깨의,scapula; scapular
어깨판의,tegular
어깻죽지,the shoulders
어께너머로,looking over the shoulder
어눌하다,to stammer
어느,"Some, a certain"
어느것,which
어느것이든,which
어느것인가,either
어느덧,Before one knows it
어느땐가,somewhere
어느새,"In no time, quickly"
어느이든지,whichever
어느점으로보아도,everyway
어느정도까지,partway
어는,freezing
어댑터,adapter
어덕해,How
어두봉미,"the head of a fish tastes good (생선은 머리), the tail of land animals tast"
어두운,"tenebrific; dark, tenebrous, unsunny"
어두움,obscuration
어두워지다,become/get dark
어두육미,"the head of a fish tastes good (생선은 머리), the tail of land animals tast"
어두음절탈락의,aphaeretic
어두컴컴함,obscurity
어둑새벽,twilight
어둑어둑,"dusky, gloomy"
어둑하게,dimly
어둑한,darksome; dim
어둑함,dimness
어둑해지다,dim
어둠,Darkness
어둠공포증,noctiphobia
어둡다,"To be dark, dim, gloomy"
어드레싱,addressing
어디,Where?
어디나,anyplace
어디라도,anyplace
어디로,"whereto, whither"
어디론가,somewhere
어디서,whence
어디서건,everywhere
어디서나,everywhere
