threescore,"70세, 60세"
rossetti,로세티
lotion,"로션, 세척제"
roaster,"로스트오븐, 로스트용고기"
rosinante,"로시난테, 폐마"
loyalty,"로열티, 충성, 충성심, 충절"
rosaniline,로자닐린
rosary,"로자리오, 장미꽃밭, 장미화단"
rosarian,"로자리오회회원, 장미재배자"
lausanne,로잔
roseau,로조
rosemary,로즈메리
colophony,로진
rosin,"로진, 로진모양의"
locarno,로카르노
locker,로커
rockabilly,로커빌리
localizer,로컬라이저
location,"로케이, 로케이션, 야외촬영, 위치"
airframe,로케트의기체
rocket,"로켓, 화전"
rocketry,"로켓, 로켓학"
rocketsonde,로켓존데
loco,"로코병, 로코초"
locoism,로코병
locoweed,로코초
rococo,"로코코식, 로코코식의"
rockoon,로쿤
roquefort,로크포르
roquelaure,로클로르
loki,로키
locket,로킷
rotameter,로타미터
rotavirus,로타바이러스
rotary,"로터리, 환상교차로, 환상의, 회전기계="
rotavator,로터베이터
rotenone,로테논
rotterdam,로테르담
rotograph,로토그래프
rotochute,로토슈트
rotoscope,로토스코프
rototiller,로토틸러
cording,"로프류, 밧줄"
ropework,"로프사용법, 로프제작법, 새끼공장, 새끼꼬는법"
lofter,로프터
rockair,록에어
rock-climbing,록클라이밍
rodkefeller,록펠러
lawn,"론, 잔디, 잔디밭"
rhone,론강
rondel,론델체
rondo,"론도, 회선곡"
roll-neck,롤낵의
lollard,롤라드
rolamite,롤라마이트
roland,롤랑
raleigh,롤리
rollmops,롤몹스
bun,롤빵
roll-in,롤인
rolls-royce,롤즈로이스
loam,"롬, 양토"
lombardy,롬바르디아
loamy,롬의
rompers,롬퍼스
longhorn,롱혼
loess,"뢰스, 황토"
roentgen,"뢴트겐, 뢴트겐의"
roentgenology,"뢴트겐과, 뢴트겐선학"
roux,루
runic,루닉
rood,루드
rudbeckia,루드베키아
lurex,루렉스
ruhr,루르지방
rumania,루마니아
rumanian,루마니아사람
bucharest,루마니아의수도
roomette,루멧
luba,"루바어, 루바족"
rubato,"루바토, 루바토로"
rubeosis,루베오시스
ruble,루블
ruby,"루비, 루비색, 진홍색"
rubidium,루비듐
rubicon,루비콘강
rubinstein,루빈슈타인
lusaka,루사카
rousseau,"루소주의, 민약설"
luzon,루손섬
looseleaf,루스리프식의
roosevelt,루스벨트
lusitania,루시타니아
luciferase,루시페라아제
luciferin,루시페린
leucine,루신
ruana,루아나
rouen,루앙
lewisite,루이사이
lewisham,루이셤
lewes,루이스
louis,루이스
rouge,"루즈, 벵갈라, 붉어지다, 스크럼"
bagger,루타
rue,"루타, 비탄, 회오"
luther,루터
lutheran,루터파의
ruthenium,루테늄
ruthenic,루테늄의
lutein,루테인
lutetium,루테튬
loupe,루페
rupee,루피
lupin,루핀콩
luxemburg,룩셈버그
luxon,룩손
lookup,룩업
roulade,룰라드
roulette,"룰렛, 점선기"
rumba,룸바
flopper,룸펜
lumpen,룸펜의
ruth,"룻, 룻기"
rheumatism,류머티즘
rheumatology,류머티즘학
rheumatic,류머티즘환자
ruche,류슈
lute,류트
packsack,"륙색, 배낭"
rucksack,"륙색, 배낭"
renaissance,"르네상스, 르네상스의, 문예부흥, 부흥"
renaissant,르네상스의
renoir,르누아르
rwanda,르완다
reuben,"르우벤, 르우벤족"
lucretia,"르크레티아, 열녀"
reportage,"르포르타주, 보고문체, 보고문학"
riga,리가
ligase,리가제
rigel,리겔
circuit,"리그, 서킷, 순회여행, 우회"
lignose,"리그노스, 폭발물"
lignify,"리그닌, 목질소"
ligroin,리그로인
rig-veda,리그베다
reno,리노
renography,"리노그래피, 신장촬영"
renogram,리노그램
linin,"리닌, 핵사"
rutherford,리더퍼드
iridium,리듐
rydberg,리드베르크
reedman,리드주자
rhythm,"리듬, 운율, 운율형식, 율동"
cadent,리듬있는
eurhythmics,리듬체조
lyra,리라
lyre,"리라, 서정시"
lima,리마
limousin,리무쟁종의소
limo,리무진
limousine,리무진
limiter,리미터
ribavarin,리바비린
retro,"리바이벌, 재유행"
revivable,"리바이벌, 문예부흥, 신앙부흥, 신앙부흥론자"
libermanism,리베르만주의
rebate,"리베이트, 환불, 환불금"
ribonuclease,리보뉴클레아제
ribosome,리보솜
ribose,리보오스
riboflavin,리보플라빈
rebekah,리브가
livre,"리브르, 리브르금화"
libreville,리브르빌
librium,리브리엄
libidinal,리비도의
libya,"리비아, 리비아사람, 리비아의"
livy,리비우스
lysergicacid,리세르그산
lysenkoism,"리셍코학설, 환경유전학설"
lysogen,"리소겐, 용원, 용원균"
lysostaphin,리소스타핀
lysosome,리소좀
lisbon,리스본
list,"리스트, 명부, 명세서, 표"
receiver,"리시버, 배기실, 수납원, 수신기"
lysin,리신
rya,리아
liana,"리아나, 리아네"
rial,리알
reactor,리액터
reactance,리액턴스
riyadh,리야드
riyal,리얄
realist,"리얼리스트, 사실주의자, 실념론자, 실재론자"
realism,"리얼리즘, 사실성, 사실주의, 실념론"
lyons,리용
lysol,리졸
lysine,리진
richard,리처드
richrdson,리처드슨
ricardo,리카도
rickettsia,리케차
recall,"리콜, 상기시키다, 생가해내다, 소환"
likud,리쿠드
liqueur,리큐어술
rickrack,리크랙
ricrac,리크랙
lycurgus,리크르구스
ricky-tick,리키틱풍의
liter,리터
ritornello,리토르넬로
lithopone,리토폰
lithuania,리투아니아
lithuanian,리투아니아의
lithium,리튬
retriever,"리트리버, 회복자"
litmus,리트머스
turnsole,"리트머스, 해바라기"
lytton,리튼
lepidolite,리티아운모
rifamycin,리파마이신
lipase,리파제
liposome,리포솜
lipoid,"리포이드, 유지질"
lipotropin,리포트로핀
riff,"리프, 리프족의사람"
liftback,리프트백차
reflation,리플레이션
walkthrough,리허설
lictor,릭토르
linnaeus,린네
flax,"린네르, 삼, 아마실"
linen,"린네르, 린네르류, 린네르제의, 린네르제품"
linnaean,린네의
lindane,린데이
linden,린덴
lint,린트천
reel,"릴, 스풀, 얼레, 자새"
relaxin,릴랙신
lilith,릴리스
rilke,릴케
rimmon,림몬
rim-brake,림브레이크
rimsky-korsakov,림스키코르사코프
lymphokine,림포카인
lymphocyte,"림프톨, 임파구"
lipstick,"립스틱, 입술연지"
ringgit,링깃
ringside,"링사이드, 링사이드의"
lincoln,링컨
lincolnshire,링컨셔
lincomycin,링코마이신
lincrusta,링크러스타
yam,마
margarite,마가라이트
marg,마가린
margarine,"마가린, 마아가린"
whitebeam,마가목류
capricorn,"마갈궁, 염소자리"
closure,"마감, 종지, 폐쇄, 폐점"
marguerite,마거리트
devildom,마계
forecefully,마구
stables,마구간
harnessry,마구류
saddlery,"마구류, 마구상"
saddleless,마구상
indiscrimination,"마구잡이, 무차별"
hit-and-miss,마구잡이
bookmaking,마권업
bookie,마권업자
bookmaker,"마권업자, 저작가, 편집가"
demonolatry,마귀숭배
magnalium,마그날륨
magnesite,마그네사이트
magnesium,마그네슘
magnetron,"마그네트론, 자전관"
magnox,마그녹스로
magma,"마그마, 암장"
magian,마기승
managua,마나과
manama,마나마
mannequin,마네킹
witch,"마녀, 마녀의"
enchantress,마녀
agate,"마노, 튀김들"
garlic,마늘
allium,마늘류
manichaeism,마니교
manichaean,마니교도
abaca,마닐라삼
maam,마님
milady,마님
missis,마님
madagascan,마다카스카르의
garden,"마당, 정원"
center,"마당, 센터, 심, 온건파"
wide-foot,마당발
eee,마당발
curlew,마도요
whaup,마도요
broker,"마도위, 중개인"
horsepox,마두
madras,마드라스
madrilene,마드릴렌
madeleine,마들렌
middletown,마들타운
nodose,마디많은
knurly,마디투성이
knottiness,마디투성이
knotgrass,마디풀
approppriate,마땅하다
reasonably,"마땅하여, 무리없이, 분별있게"
properly,"마땅히, 정확히"
pleasing,"마뜩하다, 흐뭇하다"
marrano,마라노인
maraca,마라카스
marathon,마라톤
marengo,마렝고풍의
bewitchment,마력
charm,"마력, 매력, 매혹하여시키다, 부적"
witchcraft,"마력, 마법"
witching,마력있는
provisions,"마련, 식량, 식물, 양식"
preparations,마련
arrange,"마련하다, 배열하다, 정돈하다"
marronnier,마로니에
marronglace,마롱글라세
floor,"마루, 바닥, 의원석, 입회장"
flooring,"마루, 바닥깔기"
carpeting,"마루깔개감, 양탄자재료"
keystone,"마루돌, 중추"
floorboards,"마루청, 아래목"
floorcloth,"마룻걸레, 마룻깔개"
halyard,"마룻줄, 용층줄, 이어줄"
maar,마르
margarita,마르가리타
quince,마르멜로
marseilles,마르세이유
marcella,마르셀라
markka,마르카
marxian,마르크스의
marxism,마르크스주의
marxist,마르크스주의자
martini,마르티니
desiccation,"마름, 탈수"
lozenge,마름모꼴
rhombic,"마름모꼴의, 사방정계"
argyle,마름모색무늬
marinara,마리나라
marinade,마리네드
marius,마리우스
marihuana,마리화나
gyve,마리화난
smallpox,"마마, 천연두"
marmalade,마멀레이드
marmot,마멋
abrasion,"마멸, 벗겨짐, 찰과상, 찰상"
detrition,마멸
fray,"마모되다, 문지르다, 해어지다"
cilice,마미단
haircloth,마미단
necromancy,"마법, 마술, 점"
sorcery,"마법, 마술"
wizardry,"마법, 마술"
conjurer,"마법사, 요술쟁이"
mage,마법사
sorcerer,"마법사, 마술사"
bewitch,"마법을걸다, 매력있는, 호리다"
magical,"마법의, 마술적인, 신기한"
coachman,마부
horseboy,마부
stableboy,마부
chipboard,마분지
millboard,마분지
strawboard,마분지
palsy,"마비, 마비된, 중풍"
paralysis,"마비, 정체"
asleep,"마비되어, 영면하여, 잠들어, 팽이가서서"
paralyzation,"마비상태, 마비시킴, 무력화"
torporific,마비성의
numbing,마비시키는
anesthetize,마비시키다
cauterize,"마비시키다, 부식하다"
paralyze,마비시키다
paralytic,마비의
farcy,마비저
paragun,마비총
masseur,"마사지사, 안마사"
canoe,"마상이, 카누"
devilism,마성
fairyhood,"마성, 요정임"
fiendish,"마성의, 악마같은"
masse,마세
maserati,마세라티
horsehair,"마소직, 말총"
attrition,마손
magus,마술사
necromancer,"마술사, 무당"
wicca,마술숭배
enchant,마술을걸다
sorcerous,마술의
necromantic,마술적인
eyeblack,마스카라
mascara,마스카라
mascot,마스코트
mascon,마스콘
respirator,"마스크, 방독마스크"
masking,"마스킹, 차폐"
mast,"마스트, 평수부로서"
merrymaker,마시고
potation,마시기
drinking,"마시기의, 음용의, 음주의"
drink,"마시다, 음료, 잡수다, 잡수시다"
marshmallow,마시맬로
horsefair,마시장
demogorgon,"마신, 마왕"
maya,"마야말, 마야사람"
drug,"마약, 마취시키다, 약제, 제"
maecenas,마에케나스
maotai,마오타이주
archfiend,마왕
erlking,마왕
satan,"마왕, 사탄"
mayonnaise,마요네즈
marjoram,마요라나
piton,마우에르하켄
town,"마을, 소도시, 읍, 읍민"
optional,"마음대로의, 임의"
disposition,"마음씨, 성질, 성향, 안배"
approve,"마음에들다, 보여주다, 시인하다, 실증하다"
unsatisfactory,"마음에차지않는, 시들하다"
mentally,"마음으로, 정신적으로, 지력상으로"
heartily,"마음으로부터, 배불리, 정중히"
fidget,마음졸이다
minus,마이너스
detractive,"마이너스, 비난하는, 욕하는"
meistersinger,마이스터징거
miamian,마이애미의
mike,마이크
microphone,마이크
microgauss,마이크로가우스
microdot,마이크로도트
microreader,마이크로리더
microbus,마이크로버스
microskirt,마이크로스커트
microsphere,마이크로스피어
microcode,마이크로코드
microtext,마이크로텍스트
microtome,마이크로톰
microform,마이크로폼
microprocessor,마이크로프로세서
microfiche,마이크로피시
demagnify,"마이크로화하다, 축소하다"
mitomycin,마이토마이신
milo,마일로
mileage,마일수
magyar,마자르말
mahjong,마작
first,"마저, 먼저, 상반기, 수위"
beforehand,"마저, 미리, 사전, 앞서"
bleach,"마전하다, 표백하다"
magellan,마젤란
majorca,마조르카
masochism,마조히즘
mazurka,마주르카춤
mazourka,마주르카춤
oppositely,"마주보고, 반대위치에"
teteatete,"마주보고, 마주앉은, 밀담"
opposite,"마주보는, 반대쪽에, 역의"
lukewarm,"마지근하다, 시원스럽다, 열의없는"
maginotline,마지노선
homestretch,"마지막부분, 직선코스"
begrudgingly,마지못해
reluctantly,"마지못해, 싫어하면서"
unwillingly,"마지못해, 억지로"
matsu,마쭈
carriageway,"마차길, 차길"
auriga,마차꾼자리
wagoner,마차부자리
hackman,마차업자
rubbing,"마찰, 문지르기, 문지름, 탁본"
chafing,마찰
tribometer,마찰계
tribology,마찰공학
fricative,마찰음
stridulation,마찰음
spirant,마찰음의
frictional,마찰의
triboelectricity,마찰전기
rub,"마찰하다, 맞스치다, 문질러다, 부비다"
skyscraper,마천루
forage,"마초, 징발"
stover,마초
madetoorder,마춤의
anesthesia,마취
anesthetization,마취
narcotism,"마취, 마취제중독"
poppied,마취된
arbutus,"마취목, 소귀나무"
narconalysis,마취분석
anesthetist,마취사
narcotic,"마취성의, 마취약, 마취약의, 졸리는"
stupefacient,"마취시키는, 마취제"
narcotize,마취시키다
stupefy,마취시키다
anesthetic,"마취약, 마취의, 마취제"
opiate,마취제
pentothal,"마취제, 펜토탈"
macaroni,마카로니
macaroon,마카롱
maccabaeus,마카베공
maccabees,마카베오서
macedonia,마케도니아
macedonian,"마케도니아의, 마케도니아인"
alexander,마케도니아의왕
macrame,마크라메레이스
machiavellism,마키아벨리주의
mattew,마태
martensite,마텐자이트
matico,마티코
maputo,마푸토
maffia,마피아단
mafiology,마피아학
machmeter,"마하계, 초음속도계"
mahabharata,마하바라다
mussel,"마합, 홍합"
mahogany,"마호가니, 적갈색"
satinwood,마호가니류
mohammed,마호메트
islam,"마호메트교, 이슬람교, 회교, 회교문화"
curtain,"막, 막벽, 장막, 칸막이"
interact,"막간, 막간극, 상호작용하다"
interlude,"막간, 막간여흥, 에피소드, 중간극간주곡"
satiate,막끽하다
lastborn,막내
stop,"막다, 만류하다, 멈추다, 멈춤"
obstruct,막다
stalemate,막다름
magdala,막달라
cane,"막대기, 매, 매질하다, 지팡이"
copious,"막대하다, 풍부하다, 풍부한"
immense,막대하다
incalculable,"막대하다, 무수하다"
vast,막대하다
raffish,막돼먹은
obstinate,"막무가내, 완강한, 완고한"
actually,"막상, 사실, 사실상, 실지로"
antefix,막새
panocha,막설탕
stay,"막아내다, 버팀줄, 체제하다, 코르셋"
vague,"막연, 모호하다, 몽롱하다, 삭막하다"
obscure,"막연하다, 아득하다, 애매, 어렴풋하다"
indefinitely,"막연히, 불명확하게"
vaguely,막연히
factotum,막일꾼
muller,막자
pestle,막자
scarious,막질
membrane,"막피, 피막"
deadlock,"막힘, 정돈"
standstill,"막힘, 정돈"
dirge,"만가, 애도가, 조가"
elegy,"만가, 애가, 엘레지, 조가"
elegiac,"만가의, 애가조의"
cirripede,만각류의
incurvate,"만곡된, 만곡시키다"
bight,"만곡보, 만곡부"
bilge,"만곡부, 북룩해지다, 중배"
curved,만곡한
vesperal,"만과집, 석양의"
expiry,"만기, 종료"
maturity,"만기, 성숙, 성숙도"
termination,"만기, 말단, 종결"
satiety,"만끽, 포만"
manna,만나
meet,"만나다, 모이다, 봉착, 뵙다"
everyday,"만날, 매일의, 맨날, 일상"
afteryears,"만년, 후년"
eternity,"만년, 영구, 영원"
perpetuity,"만년, 영속, 영존"
firn,"만녈설, 싸라기눈"
universality,"만능, 보편, 보편성, 일반성"
azoth,만능약
cure-all,만능약
mandala,만다라
evensong,만도
mandola,만돌라
echinus,"만두형, 섬게"
making,"만들기, 제조, 조제하다"
create,"만들어지다, 불러일으키다, 생성하다, 설치하다"
basesloaded,만루의
block,"만류하다, 모탕, 봉쇄하다, 일괄"
formidable,만만찮은
gutfighter,만만찮은적
vigor,"만만하다, 원기, 정력, 활기"
creation,"만물, 삼라만상, 수작, 어마나!"
universe,"만물, 우주, 전세계"
alkahest,만물융해약
fullblown,만발하다
broadblown,만발하다
catholicon,만병통치약
stroll,"만보하다, 방랑하다, 산책, 산책하다"
bellyful,만복
dorado,"만새기, 황새치자리"
bullnose,"만성비염, 주먹코"
chronic,"만성적인, 상습적인"
cowabunga,"만세, 정말이냐, 카우어벙거, 해냈다!"
heil,만세
rah,"만세, 후라!, 후레이"
yippee,"만세, 야!, 와!"
pantheon,"만신전, 판테온"
if,"만약, 만일"
rampancy,만연
infest,"만연하다, 창궐하다, 횡행하다"
rampantly,"만연하다, 맹렬히, 미쳐날뛰어, 자유분방하게"
rampant,"만연하다, 유행하는"
desultorily,"만연히, 종작없이"
balls,만용
temerity,"만용, 무모"
fullorbed,만월의
cruise,"만유, 순양, 순항, 순항하다"
panentheism,만유내재신론
gravity,"만유인력, 심각하다, 엄숙, 저음"
cruiser,"만유자, 순양함"
pansophism,"만유지식, 범지"
myriad,만의
suppose,"만일, 상정하다"
fylfot,만자
swastika,만자
manzanilla,만자니야
roomful,만장의사람들
gosa,만전지책
floodometer,"만조계, 홍수계"
seamark,만조선
floodmark,만조표
satisfaction,"만족, 사죄, 사죄하다"
satisfied,"만족스럽다, 만족한, 흡족한"
please,"만족시키다, 부디, 제발"
satisfactorily,"만족하게, 변변히, 흐뭇하다, 흡족하게"
unsatisfied,"만족하지않는, 불만스럽다, 불만인, 시쁘다"
curfew,"만종, 소등명령, 저녁종"
manchuria,만주
manchu,"만주말의, 만주사람의, 만주의"
manchurian,"만주사람, 만주의"
fumbling,"만지작거리는, 어설픈"
dinner,"만찬, 오찬, 정찬"
trailer,"만초, 트레일러"
fuddle,만취
crashed,만취한
sozzled,만취한
tanked,만취한
mantilla,"만틸라, 케이프"
heathenism,"만풍, 이교, 이단"
barbarity,"만행, 잔인"
brutality,"만행, 무자비, 야만성, 잔인"
cartoons,만화
kaleidoscope,"만화경, 주마등"
comic,"만화란, 희극배우, 희극적인"
animation,"만화영화제작, 생기, 활발"
caricature,"만화화, 풍자만화, 풍자하다"
cartoon,만화화하다
recuperation,"만회, 회복"
retrieval,만회
renascent,"만회하는, 부활하는"
gob,"많음, 버력"
plenty,"많음, 상당수, 충분한"
flow,"많이있다, 유량, 유출량, 통하다"
firstling,맏배
horsehide,말가죽
horsey,말같은
horseleech,"말거머리, 욕심쟁이, 착취자"
horseflesh,말고기
horsemeat,말고기
excepting,말고는
equine,말과같은
hussy,말괄량이
tomboy,말괄량이
rompish,말괄량이의
flapper,"말광량이, 파리채, 플래퍼"
horsetail,"말꼬리, 속새"
featly,"말끔하게, 말쑥하게"
convolve,"말다, 얽다"
cease,"말다, 중지하다"
bicker,"말다툼, 반짝거림, 후드득거림-말다툼하다"
brawl,"말다툼, 말다툼하다"
brabble,말다툼하다
wrangle,말다툼하다
acromegaly,말단거대증
backchat,"말대꾸, 수작"
backtalk,말대꾸
impediment,"말더듬이, 신체장애"
stutterer,말더듬이
remuda,말떼
buteo,말똥가리
buzzard,"말똥가리, 아메리카독수리"
paling,"말뚝, 울짱"
malaguena,말라게냐
malachi,"말라기, 말라기서"
drybones,말라깽이
scarecrow,"말라깽이, 허수아비"
malaria,말라리아
malarial,말라리아의
paludal,말라리아의
malabo,말라보
scrawny,"말라빠진, 야윈"
malaya,말라야
malacca,말라카
soft,"말랑거리다, 매끈하다, 묽다, 부드러운"
teledu,말레이오소리
malaysian,말레이의
bumiputra,"말레이인, 본토인"
malaysia,말레이지아
involve,"말려들게하다, 수반하다, 연루시키다, 열중시키다"
involvement,"말려들게함, 연루, 연좌, 재정곤란"
conceive,"말로표현하다, 착상하다"
dissuasive,말리는
detain,"말리다, 억류하다"
curling,"말림, 컬링"
dissuasion,말림
windily,"말만으로, 수다스럽게"
gabby,"말많은, 수다스러운"
loquacious,말많은
garrulity,말많음
verbalism,"말많음, 용장"
dumb,"말못하는, 말이없는, 벙어리의"
furlough,말미
deutzia,말발도리나무
cowherb,말뱅이나물
vespid,"말벌, 말벌과의"
yellowjacket,말벌
wasp,"말벌같은, 장수말벌"
vespine,말벌의
waspy,말벌의
fuzzball,말불버섯
puffball,말불버섯
accost,말붙임
currycomb,말빗
honey-mouthed,말뿐인
maltha,말사
rubout,말살
obliteration,"말살, 말소, 소멸"
erase,"말살하다, 삭제하다, 지우다, 지워버리다"
expunge,말살하다
obliterate,말살하다
horsefaced,말상의
effacement,"말소, 소멸"
erasure,말소
obliterative,말소하는
plague,"말썽, 역병, 재해, 페스트"
cleanish,말쑤한
clean-cut,"말쑥한, 맵시"
spiffy,말쑥한
spruce,말쑥한
diction,말씨
wordage,말씨
wording,말씨
utterance,"말씨, 말함, 발성, 발언"
furl,말아넣음
taciturn,말없는
wordless,"말없는, 무언의, 불언"
malwa,말와
farrier,"말의사, 편자공"
veterinarian,"말의사, 수의"
jobmaster,말임대업자
coper,말장수
retailer,"말전주꾼, 소매상인"
wrangler,말지기
flawless,말짱하다
interfering,말참견
dogwood,말채나무
horsewhip,말채찍
peripheral,"말초, 말초적, 주변적인, 주위의"
distal,말초적
seat,"말타기, 석, 소재지, 승마자세"
maltase,말타아제
botfly,말파리
horseshoe,"말편자, 편자"
unsaid,말하지않는
cachalot,말향고래
pure,"맑다, 순, 순이론적인, 순진하다"
clarify,"맑아지다, 정화하다, 해명하다"
refine,"맑아지다, 세련하다, 순수해지다, 정련하다"
clearness,"맑음, 명석, 명쾌, 밝기"
mamba,맘바
mambo,맘보
bejabbers,"맙소사!, 어머나!, 이런!, 제기랄!"
yummy,맛나는
flavoring,"맛내기, 조미"
gustation,"맛보기, 미각, 상미"
taste,"맛보다, 미각, 비위, 심미안"
insipid,맛없는
insipidity,"맛없음, 무미건조"
unsavory,맛이나쁜
delicious,"맛있다, 멜리셔스"
flavorful,맛좋은
flavorsome,맛좋은
conk,망가지다
oblivion,"망각, 잊기쉬움"
manganate,망간산염
ferromaganese,"망간철, 페로망간"
sentry,"망꾼, 보초, 파수"
delusions,망념
fantasies,망념
anility,망령
barbican,"망루, 성문탑, 외부"
retina,망막
retinitis,망막염
limitless,"망막한, 한량"
defector,"망명자, 배반자, 탈당자"
sentinel,"망보다, 보초, 파수병"
bobbinet,망사직
mirage,"망상, 신기루"
plexus,망상조직
reticle,"망선, 십자선"
hesitate,"망설이다, 머뭇거리다, 서슴다, 우물쭈물하다"
diffidence,망설임
hesitance,망설임
hesitancy,"망설임, 주춤거림"
vacillation,"망설임, 우유부단, 흔들림"
illusion,"망성, 미망, 착각"
misconception,"망성, 오인"
reproach,"망신, 비난, 지탄, 질책"
gibbet,망신주다
colt,망아지
foal,망아지
stupefaction,망연
lotus,"망우수, 연꽃"
telescopic,망원경의
ingratitude,망은
cur,"망종, 쌍놈"
mar,"망쳐놓다, 흠내다"
unstuck,망쳐지다
glauber,"망초, 황산소다"
shocking,"망측한, 충격적"
spoilage,"망치기, 변질, 손상, 손상물"
ruin,"망치다, 멸망, 몰락, 몰락시키다"
devastation,망친
jacket,"망토, 상의, 자켓, 재킷"
naught,"망한, 무, 붕괴한, 영"
goddamn,"망할, 빌어먹을"
goddam,"망할, 빌어먹을"
receive,"맞다, 맞아들이다, 받다, 받아내다"
beaten,맞다
cash,"맞돈, 엽전, 현금, 현찰"
headwind,맞바람
upwind,맞바람
twopaycheck,맞벌이의
ogival,맞보의
backfire,"맞불, 역불"
revamp,"맞붙임, 맞잇기, 혁신"
clench,"맞붙잡기, 부르쥐다, 움켜쥐다, 움키다"
interfold,"맞접다, 접어넣다"
fitter,"맞추는사람, 정비공, 조립공"
adjust,"맞추다, 정리하다, 조정하다"
adapt,맞추다
whip,"매, 원내총무, 채찍, 채찍질하다"
sale,"매각, 특매, 판매, 팔림새"
vendition,매각
vendor,"매각인, 판매인, 행상인"
leaseback,매각차용
deaccession,매각하다
intermediary,"매개, 매개자중재인, 중간단계, 중간의"
mediation,"매개, 사화, 조정, 중개"
vehicle,"매개물, 우주차량, 차, 차량"
middleman,"매개자, 브로커, 중매인"
media,"매개체, 미디어"
vehicular,"매개하다, 수레의, 탈것의"
rehearse,"매거하다, 복송하다, 숙달시키다, 시연하다"
warhawk,매과
betrayal,"매국노, 밀고자, 배반, 배신"
quisling,매국노
traitor,"매국노, 반역자, 배반자, 적신"
magnon,매그논
lubricious,매끄러운
slippery,"매끄러운, 미끄러운, 미끄러지다, 번지르르하다"
smooth,"매끄러운, 반드러운, 부드러운, 수염없는"
lubricity,"매끄러움, 원활"
softness,"매끈하다, 부드러움, 유연"
sleek,"매끈하다, 함함한"
manner,"매너, 작풍"
mannerism,매너리즘
manneristic,매너리즘의
handler,매니저
manicure,"매니큐어, 매니큐어하다"
pendant,매단
suspension,"매달림, 매닮, 일시정지, 중단"
monthly,"매달의, 월경, 월례"
condemnation,"매도, 매도헤지, 몰수선고, 불량품선고"
revile,"매도, 욕설"
transference,"매도, 양도, 옮기기, 옮김"
bargainor,매도인
transferrer,"매도인, 전사자, 전송자"
clap,"매독, 손뼉치기, 임질, 철썩소리내다"
syphilis,매독
luetic,매독의
syphilology,매독학
bewitchery,"매력, 매혹"
charming,"매력있는, 매력적인, 흐드러지다"
gripping,"매력있는, 잡기"
magnetically,"매력적으로, 자기적으로"
appealing,"매력적인, 애원적인"
eyeappealing,매력적인
wantable,매력적인
appeal,"매료, 상고하다, 애원하다, 항소하다"
landfill,"매립, 매립지"
empolder,매립하다
better,"매만져지다, 선배-더좋게더욱, 오히려-개선하다"
mammoth,매머드
buildup,매명
heartless,매몰차다
cicada,매미
locust,"매미, 메뚜기"
leafhopper,"매미충, 멸구"
barberry,매발톱나무
ambush,매복
divination,"매복, 역수, 예언, 점"
stillhunt,"매복시키다, 몰래하기, 암약"
brotherinlaw,"매부, 매제, 시숙"
falconer,매부리
hooknose,매부리코
each,"매사, 씩, 제각기의"
falconry,"매사냥, 매훈련법"
hawking,매사냥
massachusetts,매사추세츠
proceeds,매상고
sales,"매상고, 매출, 영업, 판촉"
fierce,"매섭다, 맹렬하다, 사나운, 치열"
corruptibility,"매수가능성, 부패성, 타락성"
boodle,매수금
vendee,"매수인, 사는사람"
fixer,"매수자, 수선인, 정착제, 조정자"
mash,"매시, 엿기름물, 짓이가다, 짓이기다"
baa,매애
bleat,매애
mordant,"매염의, 매염제"
topless,"매우높은, 토플리스의"
gingery,매운
peppery,"매운, 맵싸"
pepperiness,"매움, 신랄"
cocotte,매음
nocturnally,"매일밤, 야간에"
quotidian,매일열
evenings,매일저녁
shop,"매장, 상가, 상점, 엉망으로"
sepulcher,"매장소, 성묘"
mortuary,매장의
burier,매장자
stratfordonavon,매장지
inhumation,매장토장
inter,매장하다
infauna,매재동물
hoarding,"매점, 매점매석, 매점하여, 사재기"
stallage,매점권리
cornerer,매점자
cornerman,"매점자, 포워드"
regrate,매점하다
hoard,"매점하다, 사모으다, 저장하다"
hoardingly,매점하여
savageiy,매정하게
hardfisted,매정한
snippety,매정한
brusquerie,"매정함, 무뚝무뚝함"
loosely,"매지않게, 풀리게"
caning,매질
flogging,"매질, 물매, 채찍질, 태형"
drub,"매질하다, 몽둥이로치다, 패배시키다"
flog,"매질하다, 채찍질하다"
tan,"매질하다, 무두질하다, 황갈색"
medium,"매체, 배양기"
medias,매체
prostitution,"매춘, 성매"
bagnio,매춘굴
canhouse,매춘굴
floozy,매춘부
harlot,매춘부
hooker,"매춘부, 후커"
whorish,"매춘부의, 음탕하다"
mccarthyism,매카시주의
macrogol,매크로골
hawkish,매파적인
captivation,매혹
enchantment,매혹
charmed,매혹된
enamored,매혹된
delude,매혹시키다
ensorcell,매혹시키다
mesmerise,매혹시키다
bewitchingly,매혹시키듯
alluring,"매혹적인, 유치, 흐드러지다"
captivating,매혹적인
enchanting,매혹적인
ravishing,매혹적인
becharm,매혹하다
bedevil,매혹하다
ergot,"맥각, 맥각병"
nervation,"맥계, 맥상"
vas,맥관
vessel,"맥관, 배"
vasculitis,맥관염
angigiitis,맥관염
vascular,맥관의
vascularity,"맥관질, 혈기"
angololgy,맥관학
microseism,"맥동, 미진동"
pulsar,"맥동성, 펄사"
pulsative,맥동하는
choroid,"맥락막, 맥락막의"
contextualize,맥락화하다
pulsatile,"맥박치는, 타악기"
elvan,"맥반삭, 맥반암, 화강반암"
