threescore,"70세, 60세"
terminal,"단말장치, 마지막의, 말단, 종착역"
iambus,"단장격, 약강격"
iambic,"단장격의, 약강격의"
chasm,"단절, 공백, 균열"
monadelphous,단체인
maple,단풍
shut,"닫다, 닫히다, 오므리다, 휴업하다"
wear,"달다, 닳아해짐, 닳리다, 마손"
achieve,"달성하다, 얻다, 성취하다, 위업"
verdict,"답신, 단안"
treadmill,"답차, 단조로운일"
versus,대
overlord,대군주
catastrophe,"대단원, 대실패, 대이변, 대참사"
libretto,대본
loan,"대부하고, 대부, 대부금, 대차"
nabob,"대부호, 큰부자"
ledger,"대석, 기입장, 대장"
mainstream,"대세, 주류, 주체"
mat,"대지, 깔개, 매트, 멍석"
hire,"대출하다, 고용하다, 세내다, 세놓다"
lurch,대패
llano,대평원
trapeze,대형그네
sap,"대호, 수액, 진"
conversation,"대화, 이야기, 좌담, 회담"
duologue,"대화, 대화극"
shake,"댄스하다, 악수하다, 떨다, 떨어버리다"
imbrue,더럽히다
sully,"더럽히다, 손상하다"
dirty,"더럽히다, 누추, 누추하다, 더럽다"
jettison,던지다
overwhelm,"덮치다, 압도하다"
purlin,"도리들보, 중도리"
purline,"도리들보, 중도리"
kleptomania,"도벽, 절도광"
pressmark,도서번호
urb,도시구역
enroute,도중에
listen,"도청하다, 따르다, 청취하다, 경청하다"
mephitis,"독기, 메피티스"
freeze,"동결, 결빙기, 결빙시키다, 동결시키다"
throb,"동계, 고동, 두근거리다"
identic,"동문통첩, 동문의"
zoological,동물
shack,"동서하다, 오두막"
oscillate,"동요하다, 진동시키다, 진동하다"
accede,"동의하다, 참가하다, 따르다, 취임하다"
standoff,"동점, 무승부"
kibe,동창
homecoming,"동창회, 귀향"
masted,돛대의
unreel,되풀다
frame,"됨직하다, 골조, 나무테의, 목조의"
wimple,두건
knock,"두드리다, 학대하다, 깍아내리다, 노크"
obtuse,"둔각, 둔각의"
impound,"둘러싸다, 모으다, 몰수"
suffuse,뒤덮다
outside,"뒤집어서, 거죽, 문밖으로, 바깥"
wrong,"뒤집어서, 고장나다, 역의, 잘못"
